full_name;url;stars;language;created_at;updated_at;age_days;days_since_update;merged_prs;releases;total_issues;closed_issues;closed_issue_ratio
codecrafters-io/build-your-own-x;https://github.com/codecrafters-io/build-your-own-x;472852;Markdown;2018-05-09;2026-03-06;2858;0;155;0;888;653;0.7354
sindresorhus/awesome;https://github.com/sindresorhus/awesome;443073;Unknown;2014-07-11;2026-03-06;4256;0;694;0;365;349;0.9562
freeCodeCamp/freeCodeCamp;https://github.com/freeCodeCamp/freeCodeCamp;437842;TypeScript;2014-12-24;2026-03-06;4089;0;27780;0;21157;20983;0.9918
public-apis/public-apis;https://github.com/public-apis/public-apis;404700;Python;2016-03-20;2026-03-06;3637;0;1872;0;839;833;0.9928
EbookFoundation/free-programming-books;https://github.com/EbookFoundation/free-programming-books;383671;Python;2013-10-11;2026-03-06;4529;0;7331;0;1264;1228;0.9715
kamranahmedse/developer-roadmap;https://github.com/kamranahmedse/developer-roadmap;350310;TypeScript;2017-03-15;2026-03-06;3278;0;4077;1;3086;3056;0.9903
jwasham/coding-interview-university;https://github.com/jwasham/coding-interview-university;337634;Unknown;2016-06-06;2026-03-06;3560;0;415;0;525;454;0.8648
donnemartin/system-design-primer;https://github.com/donnemartin/system-design-primer;337562;Python;2017-02-26;2026-03-06;3295;0;203;0;360;110;0.3056
vinta/awesome-python;https://github.com/vinta/awesome-python;285876;Python;2014-06-27;2026-03-06;4269;0;641;0;0;0;0.0
awesome-selfhosted/awesome-selfhosted;https://github.com/awesome-selfhosted/awesome-selfhosted;277886;Unknown;2015-06-01;2026-03-06;3931;0;2395;1;807;807;1.0
996icu/996.ICU;https://github.com/996icu/996.ICU;275665;Unknown;2019-03-26;2026-03-06;2537;0;1072;0;0;0;0.0
openclaw/openclaw;https://github.com/openclaw/openclaw;270426;TypeScript;2025-11-24;2026-03-06;102;0;2789;59;15687;10134;0.646
practical-tutorials/project-based-learning;https://github.com/practical-tutorials/project-based-learning;260364;Unknown;2017-04-12;2026-03-06;3250;0;182;0;227;82;0.3612
facebook/react;https://github.com/facebook/react;243674;JavaScript;2013-05-24;2026-03-06;4669;0;12774;118;14387;13577;0.9437
torvalds/linux;https://github.com/torvalds/linux;221179;C;2011-09-04;2026-03-06;5296;0;0;0;0;0;0.0
TheAlgorithms/Python;https://github.com/TheAlgorithms/Python;218392;Python;2016-07-16;2026-03-06;3520;0;3046;0;1702;1540;0.9048
vuejs/vue;https://github.com/vuejs/vue;209962;TypeScript;2013-07-29;2026-03-06;4603;0;1136;249;10028;9669;0.9642
trimstray/the-book-of-secret-knowledge;https://github.com/trimstray/the-book-of-secret-knowledge;208906;Unknown;2018-06-23;2026-03-06;2813;0;122;0;0;0;0.0
ossu/computer-science;https://github.com/ossu/computer-science;202166;HTML;2014-05-04;2026-03-06;4324;0;305;0;666;654;0.982
trekhleb/javascript-algorithms;https://github.com/trekhleb/javascript-algorithms;195745;JavaScript;2018-03-24;2026-03-06;2904;0;304;0;372;234;0.629
tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;194014;C++;2015-11-07;2026-03-06;3772;0;42339;221;41196;40303;0.9783
ohmyzsh/ohmyzsh;https://github.com/ohmyzsh/ohmyzsh;185150;Shell;2009-08-28;2026-03-06;6033;0;3517;0;5034;4892;0.9718
getify/You-Dont-Know-JS;https://github.com/getify/You-Dont-Know-JS;184465;Unknown;2013-11-16;2026-03-06;4493;0;370;0;949;949;1.0
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;183825;Unknown;2018-02-13;2026-03-06;2943;0;374;0;578;449;0.7768
microsoft/vscode;https://github.com/microsoft/vscode;182363;TypeScript;2015-09-03;2026-03-06;3836;0;43355;197;232328;218849;0.942
Significant-Gravitas/AutoGPT;https://github.com/Significant-Gravitas/AutoGPT;182218;Python;2023-03-16;2026-03-06;1086;0;3977;94;3739;3509;0.9385
jackfrued/Python-100-Days;https://github.com/jackfrued/Python-100-Days;179332;Jupyter Notebook;2018-03-01;2026-03-06;2927;0;13;0;711;188;0.2644
n8n-io/n8n;https://github.com/n8n-io/n8n;177884;TypeScript;2019-06-22;2026-03-06;2449;0;14131;548;8230;7763;0.9433
flutter/flutter;https://github.com/flutter/flutter;175451;Dart;2015-03-06;2026-03-06;4017;0;46939;7;112455;100291;0.8918
twbs/bootstrap;https://github.com/twbs/bootstrap;174028;MDX;2011-07-29;2026-03-06;5333;0;9116;94;22848;22459;0.983
github/gitignore;https://github.com/github/gitignore;172857;Unknown;2010-11-08;2026-03-06;5596;0;1727;0;0;0;0.0
massgravel/Microsoft-Activation-Scripts;https://github.com/massgravel/Microsoft-Activation-Scripts;167886;Batchfile;2020-01-12;2026-03-06;2244;0;5;29;908;906;0.9978
avelino/awesome-go;https://github.com/avelino/awesome-go;166703;Go;2014-07-06;2026-03-06;4261;0;3610;0;727;713;0.9807
ollama/ollama;https://github.com/ollama/ollama;164279;Go;2023-06-26;2026-03-06;983;0;3073;189;9496;7505;0.7903
AUTOMATIC1111/stable-diffusion-webui;https://github.com/AUTOMATIC1111/stable-diffusion-webui;161521;Python;2022-08-22;2026-03-06;1292;0;1884;27;7888;5487;0.6956
jlevy/the-art-of-command-line;https://github.com/jlevy/the-art-of-command-line;160112;Unknown;2015-05-20;2026-03-06;3943;0;317;0;258;136;0.5271
huggingface/transformers;https://github.com/huggingface/transformers;157490;Python;2018-10-29;2026-03-06;2685;0;18743;244;18672;17591;0.9421
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;154079;Java;2018-05-07;2026-03-06;2860;0;1213;0;1132;1057;0.9337
DigitalPlatDev/FreeDomain;https://github.com/DigitalPlatDev/FreeDomain;150984;HTML;2024-05-30;2026-03-06;645;0;1;0;0;0;0.0
f/prompts.chat;https://github.com/f/prompts.chat;150351;HTML;2022-12-05;2026-03-06;1187;0;201;0;131;128;0.9771
yt-dlp/yt-dlp;https://github.com/yt-dlp/yt-dlp;149896;Python;2020-10-26;2026-03-06;1957;0;3229;131;11129;9307;0.8363
airbnb/javascript;https://github.com/airbnb/javascript;148098;JavaScript;2012-11-01;2026-03-06;4872;0;813;0;1404;1300;0.9259
langflow-ai/langflow;https://github.com/langflow-ai/langflow;145319;Python;2023-02-08;2026-03-06;1121;0;5796;285;3164;2823;0.8922
521xueweihan/HelloGitHub;https://github.com/521xueweihan/HelloGitHub;145019;Python;2016-05-04;2026-03-06;3593;0;17;63;2964;2681;0.9045
ytdl-org/youtube-dl;https://github.com/ytdl-org/youtube-dl;139806;Python;2010-10-31;2026-03-06;5605;0;1646;341;26819;23190;0.8647
vercel/next.js;https://github.com/vercel/next.js;138186;JavaScript;2016-10-05;2026-03-06;3438;0;26149;1000;24316;22264;0.9156
yangshun/tech-interview-handbook;https://github.com/yangshun/tech-interview-handbook;138013;TypeScript;2016-07-05;2026-03-06;3531;0;486;0;121;77;0.6364
Genymobile/scrcpy;https://github.com/Genymobile/scrcpy;136579;C;2017-11-21;2026-03-06;3026;0;123;50;5960;3285;0.5512
labuladong/fucking-algorithm;https://github.com/labuladong/fucking-algorithm;132936;Markdown;2020-02-19;2026-03-06;2207;0;244;0;963;962;0.999
golang/go;https://github.com/golang/go;132919;Go;2014-08-19;2026-03-06;4217;0;1;0;70419;60985;0.866
langgenius/dify;https://github.com/langgenius/dify;131464;TypeScript;2023-04-12;2026-03-06;1059;0;9733;158;16754;16359;0.9764
microsoft/PowerToys;https://github.com/microsoft/PowerToys;130263;C#;2019-05-01;2026-03-06;2500;0;6349;127;38256;30170;0.7886
x1xhlol/system-prompts-and-models-of-ai-tools;https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools;128897;Unknown;2025-03-05;2026-03-06;366;0;46;0;189;108;0.5714
langchain-ai/langchain;https://github.com/langchain-ai/langchain;128462;Python;2022-10-17;2026-03-06;1236;0;16042;1000;9119;8874;0.9731
Chalarangelo/30-seconds-of-code;https://github.com/Chalarangelo/30-seconds-of-code;126965;JavaScript;2017-11-29;2026-03-06;3018;0;836;12;300;300;1.0
open-webui/open-webui;https://github.com/open-webui/open-webui;125978;Python;2023-10-06;2026-03-06;881;0;3314;152;7811;7621;0.9757
facebook/react-native;https://github.com/facebook/react-native;125509;C++;2015-01-09;2026-03-06;4073;0;958;444;27580;26830;0.9728
krahets/hello-algo;https://github.com/krahets/hello-algo;122713;Java;2022-11-04;2026-03-06;1218;0;968;10;282;274;0.9716
kubernetes/kubernetes;https://github.com/kubernetes/kubernetes;120959;Go;2014-06-06;2026-03-06;4290;0;64020;784;48635;46790;0.9621
electron/electron;https://github.com/electron/electron;120335;C++;2013-04-12;2026-03-06;4711;0;24552;1000;21479;20740;0.9656
ripienaar/free-for-dev;https://github.com/ripienaar/free-for-dev;118715;HTML;2015-03-18;2026-03-06;4005;0;2900;0;0;0;0.0
excalidraw/excalidraw;https://github.com/excalidraw/excalidraw;118143;TypeScript;2020-01-02;2026-03-06;2255;0;3839;14;4646;2540;0.5467
anomalyco/opencode;https://github.com/anomalyco/opencode;117249;TypeScript;2025-04-30;2026-03-06;309;0;2594;730;9877;5121;0.5185
justjavac/free-programming-books-zh_CN;https://github.com/justjavac/free-programming-books-zh_CN;116412;Unknown;2013-11-04;2026-03-06;4505;0;282;3;0;0;0.0
nodejs/node;https://github.com/nodejs/node;116108;JavaScript;2014-11-26;2026-03-06;4117;0;11898;486;20093;18336;0.9126
iptv-org/iptv;https://github.com/iptv-org/iptv;112481;TypeScript;2018-11-14;2026-03-06;2668;0;6821;0;21748;21450;0.9863
d3/d3;https://github.com/d3/d3;112471;Shell;2010-09-27;2026-03-06;5638;0;494;194;2239;2229;0.9955
mrdoob/three.js;https://github.com/mrdoob/three.js;111199;JavaScript;2010-03-23;2026-03-06;5826;0;15237;175;13508;13066;0.9673
rust-lang/rust;https://github.com/rust-lang/rust;110960;Rust;2010-06-16;2026-03-06;5741;0;69562;147;61612;50473;0.8192
rustdesk/rustdesk;https://github.com/rustdesk/rustdesk;108761;Rust;2020-09-28;2026-03-06;1985;0;3946;36;4002;3941;0.9848
axios/axios;https://github.com/axios/axios;108590;JavaScript;2014-08-18;2026-03-06;4217;0;1134;109;4959;4758;0.9595
microsoft/TypeScript;https://github.com/microsoft/TypeScript;108032;TypeScript;2014-06-17;2026-03-06;4280;0;14857;214;42959;37983;0.8842
Hack-with-Github/Awesome-Hacking;https://github.com/Hack-with-Github/Awesome-Hacking;107841;Unknown;2016-03-30;2026-03-06;3628;0;34;0;0;0;0.0
shadcn-ui/ui;https://github.com/shadcn-ui/ui;107828;TypeScript;2023-01-04;2026-03-06;1157;0;1008;75;3931;2953;0.7512
microsoft/generative-ai-for-beginners;https://github.com/microsoft/generative-ai-for-beginners;107603;Jupyter Notebook;2023-06-19;2026-03-06;991;0;542;0;207;206;0.9952
godotengine/godot;https://github.com/godotengine/godot;107427;C++;2014-01-04;2026-03-06;4444;0;41431;66;61289;48300;0.7881
GrowingGit/GitHub-Chinese-Top-Charts;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;106626;Java;2019-09-05;2026-03-06;2374;0;0;0;343;162;0.4723
denoland/deno;https://github.com/denoland/deno;106313;Rust;2018-05-15;2026-03-06;2852;0;14308;368;13957;11608;0.8317
goldbergyoni/nodebestpractices;https://github.com/goldbergyoni/nodebestpractices;105149;Dockerfile;2017-09-15;2026-03-06;3094;0;766;0;335;286;0.8537
Comfy-Org/ComfyUI;https://github.com/Comfy-Org/ComfyUI;105024;Python;2023-01-17;2026-03-06;1144;0;2216;125;7969;4514;0.5664
fatedier/frp;https://github.com/fatedier/frp;104928;Go;2015-12-21;2026-03-06;3728;0;744;109;4061;4023;0.9906
papers-we-love/papers-we-love;https://github.com/papers-we-love/papers-we-love;103850;Shell;2013-12-15;2026-03-06;4464;0;439;0;248;246;0.9919
facebook/create-react-app;https://github.com/facebook/create-react-app;103826;JavaScript;2016-07-17;2026-03-06;3519;0;1949;83;8422;6574;0.7806
tauri-apps/tauri;https://github.com/tauri-apps/tauri;103699;Rust;2019-07-13;2026-03-06;2428;0;5401;0;6170;4912;0.7961
microsoft/terminal;https://github.com/microsoft/terminal;102042;C++;2017-08-11;2026-03-06;3128;0;4379;148;13819;12169;0.8806
deepseek-ai/DeepSeek-V3;https://github.com/deepseek-ai/DeepSeek-V3;101910;Python;2024-12-26;2026-03-06;435;0;25;1;725;680;0.9379
clash-verge-rev/clash-verge-rev;https://github.com/clash-verge-rev/clash-verge-rev;100835;TypeScript;2023-11-21;2026-03-06;835;0;752;62;5005;4837;0.9664
angular/angular;https://github.com/angular/angular;100076;TypeScript;2014-09-18;2026-03-06;4187;0;5682;610;30373;29376;0.9672
Shubhamsaboo/awesome-llm-apps;https://github.com/Shubhamsaboo/awesome-llm-apps;99980;Python;2024-04-29;2026-03-06;676;0;170;0;121;120;0.9917
jaywcjlove/awesome-mac;https://github.com/jaywcjlove/awesome-mac;99589;JavaScript;2016-07-17;2026-03-06;3519;0;1081;13;513;378;0.7368
