pr_id,repository,pr_number,group,ccm_mean,ccm_max,func_count,avg_func_length,max_func_length,long_func_count,long_line_ratio,design_smell_density,maintainability_index,added_lines_analyzed
Significant-Gravitas/AutoGPT#9965,Significant-Gravitas/AutoGPT,9965,1,5.375,21,8,33.62,84,2,0.011,5.5249,43.46,362
Significant-Gravitas/AutoGPT#9966,Significant-Gravitas/AutoGPT,9966,1,,,0,,,0,0.0,0.0,,27
Significant-Gravitas/AutoGPT#9967,Significant-Gravitas/AutoGPT,9967,1,,,0,,,0,0.0,0.0,,2
Significant-Gravitas/AutoGPT#9968,Significant-Gravitas/AutoGPT,9968,1,13.0,13,1,26.0,26,0,0.0,0.0,59.31,61
Significant-Gravitas/AutoGPT#10031,Significant-Gravitas/AutoGPT,10031,1,,,0,,,0,0.0,0.0,,14
Significant-Gravitas/AutoGPT#10063,Significant-Gravitas/AutoGPT,10063,1,2.25,6,4,18.0,28,0,0.005,0.0,49.55,199
Significant-Gravitas/AutoGPT#10064,Significant-Gravitas/AutoGPT,10064,1,,,0,,,0,0.0,0.0,,26
Significant-Gravitas/AutoGPT#10304,Significant-Gravitas/AutoGPT,10304,1,,,0,,,0,0.0,0.0,,182
Significant-Gravitas/AutoGPT#10326,Significant-Gravitas/AutoGPT,10326,1,,,0,,,0,0.0,0.0,,12
airbytehq/airbyte#10449,airbytehq/airbyte,10449,2,1.0,1,1,3.0,3,0,0.0455,0.0,70.58,22
BerriAI/litellm#18897,BerriAI/litellm,18897,2,1.0,1,1,42.0,42,0,0.009,0.0,55.25,111
langchain-ai/langchain#3971,langchain-ai/langchain,3971,2,3.0,6,5,13.2,23,0,0.0,0.0,51.7,157
getsentry/sentry-python#4118,getsentry/sentry-python,4118,2,1.0,1,3,3.67,6,0,0.0,0.0,69.0,26
getsentry/sentry#22270,getsentry/sentry,22270,2,,,0,,,0,0.0,0.0,,25
bentoml/BentoML#571,bentoml/BentoML,571,2,8.0,8,1,33.0,33,0,0.0,0.0,60.79,56
a16z/halmos#81,a16z/halmos,81,2,,,0,,,0,0.1071,0.0,,28
Significant-Gravitas/AutoGPT#4999,Significant-Gravitas/AutoGPT,4999,2,3.667,8,6,18.17,45,0,0.0,0.0,49.03,206
reflex-dev/reflex-web#311,reflex-dev/reflex-web,311,2,,,0,,,0,0.0,0.0,,13
HolmesGPT/holmesgpt#1399,HolmesGPT/holmesgpt,1399,2,2.5,4,2,18.0,18,0,0.0,0.0,64.25,42
DonDebonair/slack-machine#69,DonDebonair/slack-machine,69,2,,,0,,,0,0.0,0.0,,8
TheAlgorithms/Python#1258,TheAlgorithms/Python,1258,2,4.5,7,2,10.0,15,0,0.0,0.0,61.6,54
getsentry/sentry#14485,getsentry/sentry,14485,2,1.0,1,1,21.0,21,0,0.0,0.0,65.4,38
getsentry/sentry#77352,getsentry/sentry,77352,2,,,0,,,0,0.0333,0.0,,30
BoundaryML/baml#109,BoundaryML/baml,109,2,,,0,,,0,0.0,0.0,,2
ethyca/fides#2585,ethyca/fides,2585,2,1.062,2,16,8.25,18,0,0.0122,0.0,47.7,246
reflex-dev/reflex#1905,reflex-dev/reflex,1905,2,4.0,4,1,7.0,7,0,0.0,0.0,68.6,26
getsentry/sentry#16337,getsentry/sentry,16337,2,,,0,,,0,0.0,0.0,,13
stanford-crfm/haliax#38,stanford-crfm/haliax,38,2,3.0,4,2,14.5,15,0,0.0192,0.0,62.16,52
langchain-ai/langchain#6419,langchain-ai/langchain,6419,2,1.0,1,1,5.0,5,0,0.0556,0.0,72.48,18
Arize-ai/phoenix#6546,Arize-ai/phoenix,6546,2,,,0,,,0,0.0,0.0,,1
commaai/panda#92,commaai/panda,92,2,,,0,,,0,0.0,0.0,,1
reflex-dev/reflex-web#970,reflex-dev/reflex-web,970,2,1.0,1,1,34.0,34,0,0.0263,0.0,65.4,38
mll-lab-nu/RAGEN#27,mll-lab-nu/RAGEN,27,2,2.0,5,8,17.0,36,0,0.0542,0.0,46.45,277
langchain-ai/langchain#6115,langchain-ai/langchain,6115,2,,,0,,,0,0.0,0.0,,13
commaai/openpilot#21668,commaai/openpilot,21668,2,9.0,17,2,23.0,43,0,0.4094,0.0,50.08,171
getsentry/sentry#10473,getsentry/sentry,10473,2,1.286,3,7,9.43,38,0,0.0092,0.0,55.38,109
mlflow/mlflow#11937,mlflow/mlflow,11937,2,1.667,4,6,7.0,20,0,0.0,0.0,56.84,93
a16z/halmos#4,a16z/halmos,4,2,,,0,,,0,0.1852,0.0,,27
TheAlgorithms/Python#767,TheAlgorithms/Python,767,2,,,0,,,0,0.0,0.0,,6
poe-platform/fastapi_poe#150,poe-platform/fastapi_poe,150,2,3.0,9,6,29.5,71,2,0.0,8.0321,47.33,249
TobikoData/sqlmesh#30,TobikoData/sqlmesh,30,2,,,0,,,0,0.0,0.0,,6
open-metadata/OpenMetadata#4065,open-metadata/OpenMetadata,4065,2,,,0,,,0,0.0,0.0,,13
neondatabase/neon#1571,neondatabase/neon,1571,2,,,0,,,0,0.0,0.0,,35
keephq/keep#264,keephq/keep,264,2,1.0,1,5,8.8,14,0,0.0192,0.0,62.43,52
PolicyEngine/policyengine-us#238,PolicyEngine/policyengine-us,238,2,1.0,1,4,4.5,7,0,0.0,0.0,67.33,31
tinygrad/tinygrad#1696,tinygrad/tinygrad,1696,2,6.0,6,1,12.0,12,0,0.1053,0.0,64.73,38
apache/pulsar#1833,apache/pulsar,1833,2,1.25,2,4,6.25,10,0,0.0215,0.0,56.89,93
pgmpy/pgmpy#399,pgmpy/pgmpy,399,2,1.0,1,1,8.0,8,0,0.1143,0.0,66.18,35
PyLabRobot/pylabrobot#135,PyLabRobot/pylabrobot,135,2,1.25,2,4,9.0,25,0,0.0143,0.0,59.58,70
lucemia/typed-ffmpeg#201,lucemia/typed-ffmpeg,201,2,1.0,1,1,1.0,1,0,0.1429,0.0,81.43,7
open-metadata/OpenMetadata#16196,open-metadata/OpenMetadata,16196,2,1.0,1,2,13.0,14,0,0.0078,0.0,53.83,129
docling-project/docling#75,docling-project/docling,75,2,4.0,12,6,30.0,120,1,0.0,3.6101,46.18,277
PrefectHQ/prefect#2552,PrefectHQ/prefect,2552,2,,,0,,,0,0.22,0.0,,50
Helicone/helicone#168,Helicone/helicone,168,2,1.0,1,3,4.33,8,0,0.0,0.0,66.18,35
