pr_id,group,design_smell_density,maintainability_index,smell_type
Significant-Gravitas/AutoGPT#9965,1,5.5249,43.46,complexity
Significant-Gravitas/AutoGPT#9966,1,0.0,,none
Significant-Gravitas/AutoGPT#9967,1,0.0,,none
Significant-Gravitas/AutoGPT#9968,1,0.0,59.31,complexity
Significant-Gravitas/AutoGPT#10031,1,0.0,,none
Significant-Gravitas/AutoGPT#10063,1,0.0,49.55,none
Significant-Gravitas/AutoGPT#10064,1,0.0,,none
Significant-Gravitas/AutoGPT#10304,1,0.0,,none
Significant-Gravitas/AutoGPT#10326,1,0.0,,none
airbytehq/airbyte#10449,2,0.0,70.58,none
BerriAI/litellm#18897,2,0.0,55.25,none
langchain-ai/langchain#3971,2,0.0,51.7,none
getsentry/sentry-python#4118,2,0.0,69.0,none
getsentry/sentry#22270,2,0.0,,none
bentoml/BentoML#571,2,0.0,60.79,complexity
a16z/halmos#81,2,0.0,,style
Significant-Gravitas/AutoGPT#4999,2,0.0,49.03,none
reflex-dev/reflex-web#311,2,0.0,,none
HolmesGPT/holmesgpt#1399,2,0.0,64.25,none
DonDebonair/slack-machine#69,2,0.0,,none
TheAlgorithms/Python#1258,2,0.0,61.6,none
getsentry/sentry#14485,2,0.0,65.4,none
getsentry/sentry#77352,2,0.0,,none
BoundaryML/baml#109,2,0.0,,none
ethyca/fides#2585,2,0.0,47.7,none
reflex-dev/reflex#1905,2,0.0,68.6,none
getsentry/sentry#16337,2,0.0,,none
stanford-crfm/haliax#38,2,0.0,62.16,none
langchain-ai/langchain#6419,2,0.0,72.48,none
Arize-ai/phoenix#6546,2,0.0,,none
commaai/panda#92,2,0.0,,none
reflex-dev/reflex-web#970,2,0.0,65.4,none
mll-lab-nu/RAGEN#27,2,0.0,46.45,none
langchain-ai/langchain#6115,2,0.0,,none
commaai/openpilot#21668,2,0.0,50.08,complexity
getsentry/sentry#10473,2,0.0,55.38,none
mlflow/mlflow#11937,2,0.0,56.84,none
a16z/halmos#4,2,0.0,,style
TheAlgorithms/Python#767,2,0.0,,none
poe-platform/fastapi_poe#150,2,8.0321,47.33,size
TobikoData/sqlmesh#30,2,0.0,,none
open-metadata/OpenMetadata#4065,2,0.0,,none
neondatabase/neon#1571,2,0.0,,none
keephq/keep#264,2,0.0,62.43,none
PolicyEngine/policyengine-us#238,2,0.0,67.33,none
tinygrad/tinygrad#1696,2,0.0,64.73,complexity
apache/pulsar#1833,2,0.0,56.89,none
pgmpy/pgmpy#399,2,0.0,66.18,style
PyLabRobot/pylabrobot#135,2,0.0,59.58,none
lucemia/typed-ffmpeg#201,2,0.0,81.43,style
open-metadata/OpenMetadata#16196,2,0.0,53.83,none
docling-project/docling#75,2,3.6101,46.18,size
PrefectHQ/prefect#2552,2,0.0,,style
Helicone/helicone#168,2,0.0,66.18,none
safe-global/safe-wallet-monorepo#1066,2,0.0,61.83,none
dust-tt/dust#1432,2,6.0976,51.55,size
getsentry/sentry#28839,2,0.0,61.2,none
PostHog/posthog#9215,2,0.0,,style
dust-tt/dust#3153,2,0.0,,none
