timestamp,trial,api_type,endpoint,latency_ms,size_bytes,status_code
2026-06-26T00:55:31.605881Z,20,GraphQL,commits,155.6,5374,200
2026-06-26T00:55:33.205881Z,20,REST,repo,160.01,6706,200
2026-06-26T00:55:34.805881Z,22,GraphQL,issues,147.89,2902,200
2026-06-26T00:55:36.405881Z,10,GraphQL,pulls,129.02,3116,200
2026-06-26T00:55:38.005881Z,20,GraphQL,issues,146.67,2856,200
2026-06-26T00:55:39.605881Z,9,REST,commits,137.38,124709,200
2026-06-26T00:55:41.205881Z,11,GraphQL,repo,117.54,318,200
2026-06-26T00:55:42.805881Z,9,REST,repo,101.62,6229,200
2026-06-26T00:55:44.405881Z,17,REST,pulls,189.35,118868,200
2026-06-26T00:55:46.005881Z,14,GraphQL,commits,163.26,5357,200
2026-06-26T00:55:47.605881Z,27,GraphQL,repo,127.4,312,200
2026-06-26T00:55:49.205881Z,23,REST,commits,174.76,124321,200
2026-06-26T00:55:50.805881Z,1,GraphQL,pulls,128.93,3117,200
2026-06-26T00:55:52.405881Z,10,GraphQL,repo,168.97,312,200
2026-06-26T00:55:54.005881Z,20,GraphQL,pulls,123.22,2971,200
2026-06-26T00:55:55.605881Z,12,REST,repo,704.04,6353,200
2026-06-26T00:55:57.205881Z,23,GraphQL,issues,150.34,2877,200
2026-06-26T00:55:58.805881Z,5,GraphQL,pulls,172.39,2864,200
2026-06-26T00:56:00.405881Z,27,REST,repo,152.14,6474,200
2026-06-26T00:56:02.005881Z,28,GraphQL,pulls,153.37,2868,200
2026-06-26T00:56:03.605881Z,4,REST,commits,214.16,125164,200
2026-06-26T00:56:05.205881Z,26,REST,commits,842.56,125474,200
2026-06-26T00:56:06.805881Z,2,REST,repo,104.4,6403,200
2026-06-26T00:56:08.405881Z,6,GraphQL,repo,124.6,316,200
2026-06-26T00:56:10.005881Z,15,REST,issues,203.18,96846,200
2026-06-26T00:56:11.605881Z,16,GraphQL,repo,170.04,314,200
2026-06-26T00:56:13.205881Z,11,GraphQL,issues,164.47,3022,200
2026-06-26T00:56:14.805881Z,19,REST,pulls,170.27,118586,200
2026-06-26T00:56:16.405881Z,14,GraphQL,issues,112.08,2835,200
2026-06-26T00:56:18.005881Z,28,GraphQL,issues,114.64,2795,200
2026-06-26T00:56:19.605881Z,26,REST,repo,91.02,6601,200
2026-06-26T00:56:21.205881Z,24,REST,issues,252.39,96213,200
2026-06-26T00:56:22.805881Z,22,REST,pulls,180.77,118596,200
2026-06-26T00:56:24.405881Z,15,GraphQL,pulls,184.71,2936,200
2026-06-26T00:56:26.005881Z,6,REST,repo,130.56,6411,200
2026-06-26T00:56:27.605881Z,30,REST,pulls,230.56,118381,200
2026-06-26T00:56:29.205881Z,6,REST,commits,251.47,123440,200
2026-06-26T00:56:30.805881Z,20,GraphQL,repo,155.64,316,200
2026-06-26T00:56:32.405881Z,8,GraphQL,pulls,152.93,3048,200
2026-06-26T00:56:34.005881Z,19,GraphQL,issues,158.94,2830,200
2026-06-26T00:56:35.605881Z,11,GraphQL,pulls,141.13,3035,200
2026-06-26T00:56:37.205881Z,24,GraphQL,repo,170.77,321,200
2026-06-26T00:56:38.805881Z,25,REST,commits,252.59,124134,200
2026-06-26T00:56:40.405881Z,2,GraphQL,pulls,175.8,3051,200
2026-06-26T00:56:42.005881Z,28,REST,repo,146.65,6078,200
2026-06-26T00:56:43.605881Z,4,GraphQL,issues,158.59,2883,200
2026-06-26T00:56:45.205881Z,9,GraphQL,issues,120.03,3029,200
2026-06-26T00:56:46.805881Z,1,GraphQL,repo,188.47,317,200
2026-06-26T00:56:48.405881Z,26,REST,issues,223.83,96317,200
2026-06-26T00:56:50.005881Z,3,REST,issues,135.38,96234,200
2026-06-26T00:56:51.605881Z,9,REST,pulls,208.76,119009,200
2026-06-26T00:56:53.205881Z,18,GraphQL,repo,143.2,309,200
2026-06-26T00:56:54.805881Z,19,REST,repo,115.45,6563,200
2026-06-26T00:56:56.405881Z,14,GraphQL,pulls,152.68,2931,200
2026-06-26T00:56:58.005881Z,14,REST,pulls,235.99,119375,200
