full_name,stars,releases,created_at,cbo_median,cbo_mean,cbo_std,dit_median,dit_mean,dit_std,lcom_median,lcom_mean,lcom_std,loc_median,loc_mean,loc_std,num_classes
Snailclimb/JavaGuide,154501,0,2018-05-07T13:27:00Z,0.0,2.3333,3.2998,1.0,1.0,0.0,0.0,14.3333,20.2704,10.0,100.0,131.5447,3
krahets/hello-algo,125046,10,2022-11-04,2.0,1.8744,1.5091,1.0,1.0,0.0,1.0,4.707,10.4335,30.0,35.8465,19.9103,215
GrowingGit/GitHub-Chinese-Top-Charts,107396,0,2019-09-05,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1
iluwatar/java-design-patterns,93862,0,2014-08-09,3.0,3.3623,2.6059,1.0,1.196,0.5293,0.0,1.8276,6.3509,11.0,19.0804,26.3046,1990
macrozheng/mall,83359,3,2018-04-04,3.0,3.9342,4.9636,1.0,1.2395,0.4389,13.0,1110.8039,8150.188,31.5,132.7671,261.0299,760
doocs/advanced-java,78930,1,2018-10-06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1
MisterBooo/LeetCodeAnimation,76661,0,2018-12-06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.5,19.5,6.8007,4
TheAlgorithms/Java,65349,0,2016-07-16,2.0,2.0779,1.4747,1.0,1.0384,0.2596,1.0,11.205,37.1112,28.0,41.1446,43.075,1771
kdn251/interviews,64919,0,2017-02-14,1.0,1.1946,1.2511,1.0,1.0039,0.0623,0.0,0.2918,0.9276,20.0,21.8716,10.7234,257
termux/termux-app,53169,95,2015-10-23,4.0,5.9128,7.1759,1.0,1.4299,0.7031,0.0,60.8255,236.0028,31.0,76.5202,153.2297,321
google/guava,51509,57,2014-05-29,2.0,4.2125,5.6906,1.0,1.8581,2.3208,0.0,51.594,463.2047,10.0,41.5729,113.7067,5985
ReactiveX/RxJava,48338,258,2013-01-08,1.0,2.3338,5.1487,1.0,1.3222,0.8871,0.0,47.8836,1822.838,5.0,31.3808,103.8458,11897
skylot/jadx,48025,34,2013-03-18,3.0,4.3681,6.4786,1.0,1.6475,1.2379,0.0,32.2957,317.2503,18.0,44.9098,95.2388,3081
PhilJay/MPAndroidChart,38222,44,2014-04-25,5.0,8.8431,9.9903,1.0,1.9804,1.2286,1.0,91.0327,516.9505,25.0,68.9902,97.8874,306
halo-dev/halo,38223,254,2018-03-21,5.0,7.6679,7.3462,1.0,1.252,0.6314,0.0,7.6554,31.3998,17.0,35.0413,51.6023,1599
TeamNewPipe/NewPipe,37768,141,2015-09-03,5.0,8.6647,10.6078,1.0,1.7183,1.1443,1.0,47.873,249.1538,26.0,77.1567,150.8675,504
ashishps1/awesome-system-design-resources,36123,0,2023-10-25,1.0,0.8182,0.575,1.0,1.0,0.0,0.0,0.0,0.0,26.0,30.5455,12.0481,11
geekxh/hello-algorithm,36061,0,2020-05-29,1.0,1.0,0.8165,1.0,1.0,0.0,0.0,0.0,0.0,26.0,20.3333,11.7284,3
doocs/leetcode,35868,21,2018-09-16,2.0,2.686,1.9781,1.0,1.0058,0.076,0.0,0.3721,0.87,24.0,27.7326,17.6101,172
airbnb/lottie-android,35595,63,2016-10-06,5.0,6.9656,8.334,1.0,1.2887,0.6468,0.0,35.8007,301.9652,24.0,62.4021,122.5276,291
netty/netty,34909,3,2010-11-09,3.0,4.4888,5.8624,1.0,1.5276,1.1967,0.0,69.0566,1152.7192,12.0,49.6893,140.7323,7830
xkcoding/spring-boot-demo,34109,0,2017-11-10,4.0,5.0519,3.9978,1.0,1.1307,0.488,0.0,2.3216,9.8046,7.0,14.861,19.3388,482
SeleniumHQ/selenium,34071,116,2013-01-14,4.0,5.7909,7.0054,1.0,1.3813,1.0461,1.0,33.5026,285.2718,20.0,47.7386,81.9017,2085
zxing/zxing,33910,32,2011-10-12,4.0,4.9933,4.7946,2.0,1.6628,0.7686,0.0,22.8114,130.3261,31.0,67.1436,93.0551,599
alibaba/easyexcel,33757,14,2018-02-06,5.0,6.6321,6.0875,1.0,1.375,0.8337,1.0,32.025,355.3508,15.0,36.6875,65.0786,560
Blankj/AndroidUtilCode,33695,117,2016-07-30,2.0,4.1687,5.5581,1.0,1.3642,0.835,0.0,144.9537,959.788,14.0,59.694,129.6144,670
ityouknow/spring-boot-examples,30622,0,2016-11-05,4.0,4.7264,3.0993,1.0,1.0261,0.1593,0.0,5.0326,16.3228,7.0,14.5309,15.8758,307
chinabugotech/hutool,30297,157,2014-04-13,3.0,3.5394,3.8342,1.0,1.2805,0.7491,0.0,101.0689,952.4675,18.0,49.8071,104.1481,2727
xuxueli/xxl-job,30045,43,2015-11-28,3.0,4.9884,5.5865,1.0,1.157,0.4089,0.0,24.4535,101.6776,25.5,50.9477,100.3502,172
alibaba/canal,29649,32,2013-01-13,4.0,5.8008,6.4379,1.0,1.3786,0.8207,1.0,77.0342,466.1074,30.0,106.9696,367.6287,1054
wuyouzhuguli/SpringAll,29004,0,2018-05-02,4.0,5.2434,4.2717,1.0,1.1111,0.3685,0.0,3.7487,11.8423,11.0,15.9656,14.297,378
DrKLO/Telegram,28906,95,2013-10-25,4.0,6.9562,14.1102,1.0,1.6767,18.0537,0.0,70.4877,1381.0594,18.0,119.7361,880.7374,14241
alibaba/druid,28208,52,2011-11-03,4.0,5.2361,12.9189,2.0,1.6552,0.9246,0.0,229.3545,5182.4204,21.0,58.615,266.9093,5969
lenve/vhr,28108,0,2018-01-04,2.0,4.4362,5.8119,1.0,1.0213,0.1443,6.0,48.3298,224.5907,20.0,31.6064,42.0049,94
crossoverJie/JCSprout,26977,0,2017-12-17,1.0,1.963,1.8522,1.0,1.0926,0.3652,0.0,1.7654,6.3387,15.0,27.1543,33.2257,162
kestra-io/kestra,26684,422,2019-08-24,6.0,8.0566,8.6,1.0,1.4226,0.7981,0.0,15.414,105.1529,15.0,36.6976,69.2276,2331
alibaba/fastjson,25688,84,2011-11-03,1.0,1.8524,2.7786,1.0,1.5043,0.7131,0.0,126.1212,3281.707,13.0,32.6373,156.1019,6327
hollischuang/toBeTopJavaer,25449,0,2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JakeWharton/butterknife,25403,0,2013-03-05,2.0,3.9596,6.4021,1.0,1.2353,0.7095,0.0,10.4816,75.667,8.0,28.3529,91.8199,272
jenkinsci/jenkins,25183,486,2010-11-22,4.0,6.3464,8.5282,2.0,1.9063,1.7635,0.0,46.6229,908.8705,16.0,45.7006,114.7661,4131
scwang90/SmartRefreshLayout,25173,14,2017-06-02,3.0,6.651,7.5802,1.0,1.5073,0.848,0.0,30.3196,294.6145,12.0,53.2141,154.7695,341
proxyee-down-org/proxyee-down,24766,49,2017-10-25,4.0,5.5167,6.1711,1.0,1.4667,0.9214,2.0,19.5167,49.3124,36.5,56.5333,62.2151,60
greenrobot/EventBus,24740,7,2012-07-16,3.0,3.4262,3.0575,1.0,1.8361,1.4202,0.0,9.0546,34.9863,8.0,28.7923,52.8895,183
google/gson,24242,12,2015-03-19,2.0,3.0249,4.4492,1.0,1.2848,1.0237,0.0,20.7253,381.6623,8.0,32.0995,91.7747,1085
dataease/dataease,23756,105,2021-02-02,3.0,4.9708,7.5439,1.0,1.2049,0.6754,0.0,28.4488,184.8593,9.0,39.6846,124.8501,1132
LSPosed/LSPosed,23402,39,2020-12-12,3.0,5.5222,7.2387,1.0,1.6464,1.2855,0.0,48.1148,319.4745,12.0,53.7518,127.6291,427
ashishps1/awesome-low-level-design,23233,0,2023-11-17,2.0,2.6343,2.5504,1.0,1.1387,0.4331,0.0,3.0542,11.137,13.0,18.4376,18.5216,793
doocs/source-code-hunter,23134,0,2019-10-28,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1
kunal-kushwaha/DSA-Bootcamp-Java,22471,0,2021-07-30,1.0,1.2688,1.2379,1.0,1.083,0.3401,1.0,3.502,10.9889,16.0,26.1423,31.8804,253
apache/rocketmq,22403,25,2016-11-30,4.0,7.0898,10.8487,1.0,1.3338,0.7482,1.0,136.524,2871.4026,29.0,78.296,165.6954,3017
elunez/eladmin,21940,1,2018-12-14,5.0,8.0142,7.6696,1.0,1.1631,0.4476,0.0,6.2589,19.5289,11.0,28.617,49.5587,282
google/ExoPlayer,21922,28,2014-06-13,5.0,7.5879,8.9463,1.0,1.295,1.0156,0.0,52.2201,493.0635,25.0,79.9598,207.3392,3281
CarGuo/GSYVideoPlayer,21428,65,2016-11-13,2.0,5.3264,6.7738,1.0,1.543,1.4795,0.0,52.3457,301.1958,12.0,48.4674,91.2888,674
brettwooldridge/HikariCP,21086,0,2013-10-08,3.0,4.3838,4.1848,1.0,1.2865,0.6568,0.0,172.6703,1404.849,24.0,61.9676,101.6351,185
didi/DoKit,20426,14,2018-08-14,2.0,4.5035,5.7297,1.0,1.3206,0.8372,0.0,71.7667,634.1968,14.0,51.2938,105.7822,1569
mybatis/mybatis-3,20414,46,2013-02-14,2.0,3.5695,4.9917,1.0,1.238,0.7793,0.0,21.2711,249.0073,16.0,34.7762,71.6634,1756
linlinjava/litemall,20221,8,2018-03-22,3.0,4.6175,5.8451,1.0,1.1264,0.3323,1.0,1532.8849,9394.9777,37.0,147.2998,319.7994,617
ReactiveX/RxAndroid,20052,20,2014-08-19,1.0,2.2727,3.7536,1.0,1.1273,0.4287,0.0,3.0909,11.1311,6.0,26.4,79.83,55
dianping/cat,18967,3,2012-12-05,4.0,5.3784,5.8871,1.0,1.4345,0.7082,1.0,23.0359,104.1783,26.0,51.7976,69.9515,1892
lionsoul2014/ip2region,18912,22,2015-11-02,4.0,4.1042,2.9029,1.0,1.2083,0.5758,0.0,11.375,34.1313,26.5,53.5625,59.8762,48
Baseflow/PhotoView,18849,5,2012-07-17,3.0,4.7333,5.4829,1.0,1.3556,0.5639,0.0,24.6,155.5014,14.0,39.8222,92.5016,45
antlr/antlr4,18812,31,2010-02-04,3.0,5.7734,7.2205,1.0,1.8353,1.1654,0.0,48.3021,192.7177,20.0,61.9668,114.7272,662
williamfiset/Algorithms,18563,0,2017-03-18,3.0,2.7222,1.769,1.0,1.0556,0.2291,3.0,23.8533,72.5448,50.0,72.7844,72.7346,450
