full_name;url;stars;merged_prs;closed_prs;total_prs_merged_closed
codecrafters-io/build-your-own-x;https://github.com/codecrafters-io/build-your-own-x;494257;155;186;341
sindresorhus/awesome;https://github.com/sindresorhus/awesome;458561;695;1659;2354
freeCodeCamp/freeCodeCamp;https://github.com/freeCodeCamp/freeCodeCamp;443490;28180;16605;44785
public-apis/public-apis;https://github.com/public-apis/public-apis;426220;1872;1352;3224
EbookFoundation/free-programming-books;https://github.com/EbookFoundation/free-programming-books;385978;7360;4258;11618
openclaw/openclaw;https://github.com/openclaw/openclaw;363320;5821;25772;31593
kamranahmedse/developer-roadmap;https://github.com/kamranahmedse/developer-roadmap;353529;4165;1803;5968
donnemartin/system-design-primer;https://github.com/donnemartin/system-design-primer;343962;210;162;372
jwasham/coding-interview-university;https://github.com/jwasham/coding-interview-university;342369;415;597;1012
vinta/awesome-python;https://github.com/vinta/awesome-python;294164;679;1688;2367
awesome-selfhosted/awesome-selfhosted;https://github.com/awesome-selfhosted/awesome-selfhosted;287923;2395;645;3040
996icu/996.ICU;https://github.com/996icu/996.ICU;275924;1072;919;1991
practical-tutorials/project-based-learning;https://github.com/practical-tutorials/project-based-learning;263996;182;199;381
facebook/react;https://github.com/facebook/react;244652;12830;6147;18977
TheAlgorithms/Python;https://github.com/TheAlgorithms/Python;220139;3077;8288;11365
trimstray/the-book-of-secret-knowledge;https://github.com/trimstray/the-book-of-secret-knowledge;217116;122;118;240
vuejs/vue;https://github.com/vuejs/vue;209807;1136;1231;2367
ossu/computer-science;https://github.com/ossu/computer-science;203228;313;198;511
trekhleb/javascript-algorithms;https://github.com/trekhleb/javascript-algorithms;195877;304;271;575
tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;194860;44368;23932;68300
ohmyzsh/ohmyzsh;https://github.com/ohmyzsh/ohmyzsh;186437;3550;4083;7633
n8n-io/n8n;https://github.com/n8n-io/n8n;185445;15335;3706;19041
getify/You-Dont-Know-JS;https://github.com/getify/You-Dont-Know-JS;184445;370;527;897
CyC2018/CS-Notes;https://github.com/CyC2018/CS-Notes;184255;374;187;561
microsoft/vscode;https://github.com/microsoft/vscode;184223;46054;7853;53907
Significant-Gravitas/AutoGPT;https://github.com/Significant-Gravitas/AutoGPT;183726;4288;3402;7690
jackfrued/Python-100-Days;https://github.com/jackfrued/Python-100-Days;181800;13;203;216
flutter/flutter;https://github.com/flutter/flutter;176100;47731;22768;70499
twbs/bootstrap;https://github.com/twbs/bootstrap;174200;9237;6769;16006
github/gitignore;https://github.com/github/gitignore;173545;1762;2898;4660
avelino/awesome-go;https://github.com/avelino/awesome-go;170875;3701;1412;5113
ollama/ollama;https://github.com/ollama/ollama;169884;3263;1311;4574
obra/superpowers;https://github.com/obra/superpowers;166502;61;424;485
affaan-m/everything-claude-code;https://github.com/affaan-m/everything-claude-code;166001;368;556;924
AUTOMATIC1111/stable-diffusion-webui;https://github.com/AUTOMATIC1111/stable-diffusion-webui;162577;1876;1394;3270
jlevy/the-art-of-command-line;https://github.com/jlevy/the-art-of-command-line;160767;317;158;475
f/prompts.chat;https://github.com/f/prompts.chat;160552;223;623;846
huggingface/transformers;https://github.com/huggingface/transformers;159869;19229;5578;24807
yt-dlp/yt-dlp;https://github.com/yt-dlp/yt-dlp;158397;3266;909;4175
Snailclimb/JavaGuide;https://github.com/Snailclimb/JavaGuide;155190;1235;332;1567
anomalyco/opencode;https://github.com/anomalyco/opencode;148801;3734;4415;8149
airbnb/javascript;https://github.com/airbnb/javascript;148131;822;814;1636
langflow-ai/langflow;https://github.com/langflow-ai/langflow;147338;6177;2045;8222
ytdl-org/youtube-dl;https://github.com/ytdl-org/youtube-dl;140137;1646;2865;4511
vercel/next.js;https://github.com/vercel/next.js;139140;26775;7991;34766
langgenius/dify;https://github.com/langgenius/dify;139048;10896;1982;12878
yangshun/tech-interview-handbook;https://github.com/yangshun/tech-interview-handbook;139011;493;94;587
Genymobile/scrcpy;https://github.com/Genymobile/scrcpy;138954;136;435;571
x1xhlol/system-prompts-and-models-of-ai-tools;https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools;135986;46;84;130
